Models,Bias,MAE,RMSE,RSR,PBIAS,NSE
RF,0.8740826002381397,5.127660512033716,13.263630006581366,0.08829484839280602,0.29927481658764427,0.9913231580783742
GB,-0.023004328651342477,3.3843256663191594,5.4495055633920355,0.0360880271359351,-0.005755261851328156,0.9986870006406434
MLP,-0.5332802495468989,17.49041485164328,24.55656691149621,0.16397121835070452,-0.2981450663473617,0.9715984750286666
Lasso,0.05593574449943732,28.76706937245255,38.89464675732802,0.2586866127108502,-0.058102463635085685,0.9320665369342518
